,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
122,76407,The Shrieking Shack & Whomping Willow,1 Jun 2022 - 31 Dec 2024 (2y 7m),2022,89.99,,,✭✭✭✭✩ 4.1 116 ratings Brickset review,,
123,76408,12 Grimmauld Place,1 Jun 2022 - 31 Dec 2023 (1y 6m 30d),2022,119.99,147.42200000000003,125.35600000000001,✭✭✭✭✭ 4.3 118 ratings Brickset review,22.86,4.47
124,76409,Gryffindor House Banner,1 Mar 2023 - 31 Dec 2023 (10m),2023,34.99,27.698,18.238,✭✭✭✭✩ 3.6 57 ratings Brickset review,-20.84,-47.88
125,76410,Slytherin House Banner,1 Mar 2023 - 31 Dec 2023 (10m),2023,34.99,27.038,,✭✭✭✭✩ 3.6 56 ratings 1 review Brickset review,-22.73,
126,76411,Ravenclaw House Banner,1 Mar 2023 - 31 Dec 2023 (10m),2023,34.99,31.559000000000005,19.943,✭✭✭✭✩ 3.6 58 ratings Brickset review,-9.81,-43.0
127,76412,Hufflepuff House Banner,1 Mar 2023 - 31 Dec 2023 (10m),2023,34.99,27.742,18.172,✭✭✭✭✩ 3.6 58 ratings Brickset review,-20.71,-48.07
128,76413,Hogwarts: Room of Requirement,1 Mar 2023 - 31 Dec 2024 (1y 10m 1d),2023,49.99,,,✭✭✭✭✩ 3.8 90 ratings,,
129,76414,Expecto Patronum,1 Jun 2023 - 31 Dec 2024 (1y 7m),2023,69.99,,,✭✭✭✭✩ 4.1 42 ratings,,
130,76415,The Battle of Hogwarts,1 Jun 2023 - 31 Dec 2024 (1y 7m),2023,79.99,,,✭✭✭✭✩ 3.7 73 ratings,,
131,76416,Quidditch Trunk,1 Jun 2023 - 31 Dec 2024 (1y 7m),2023,67.99,,,,,
132,76417,Gringotts Wizarding Bank - Collectors' Edition,1 Sep 2023 - {t.b.a},2023,429.99,,,✭✭✭✭✭ 4.6 64 ratings Brickset review,,
133,76418,LEGO Harry Potter Advent Calendar,1 Sep 2023 - 31 Dec 2023 (3m 29d),2023,44.99,20.031000000000002,15.312000000000001,✭✭✭✭✩ 3.7 59 ratings,-55.48,-65.97
134,76419,Hogwarts Castle and Grounds,1 Sep 2023 - {t.b.a},2023,169.99,,,✭✭✭✭✭ 4.5 90 ratings Brickset review,,
135,76420,Triwizard Tournament: The Black Lake,1 Mar 2023 - 31 Dec 2024 (1y 10m 1d),2023,44.99,,,✭✭✭✭✩ 4.1 105 ratings 1 review Brickset review,,
136,76421,Dobby the House-Elf,1 Jun 2023 - {t.b.a},2023,34.99,,,✭✭✭✭✩ 4.0 63 ratings 2 reviews,,
